Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
just landed Toyota Sienna 2006,"1,350,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Abeokuta,12000
2008 Toyota Corolla Very Neat,"1,100,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Lagos,63000
2008 Toyota Corolla Very Neat,"1,000,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Lagos,45000
Foreign used Toyota Camry 20015 model,"2,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Abeokuta,11354
2008 Toyota Matrix Very Neat,"1,000,000",Toyota,Matrix,2002,,Automatic,,Petrol,,Lagos,412521
Foreign used Toyota Hiliux 2008,"2,000,000",Toyota,Hilux,2002,,Automatic,,Petrol,,Abeokuta,2451
2008 Toyota Matrix Very Neat,"1,000,000",Toyota,Matrix,2002,,Automatic,,Petrol,,Lagos,425211
Direct tokunbo Honda Accord with 2006 model,"1,500,000",Honda,Accord,2002,,Automatic,,Petrol,,Abeokuta,35211
2012 Toyota Matrix Very Neat,"1,100,000",Toyota,Matrix,2002,,Automatic,,Petrol,,Lagos,432512
2008 Toyota Matrix Very Neat,"1,000,000",Toyota,Matrix,2002,,Automatic,,Petrol,,Lagos,325241
2008 Toyota Avalon Very Neat,"1,000,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Lagos,452512
Direct tokunbo Toyota Camry muscle 2008,"1,300,000",Toyota,Camry,2002,,Automatic,,Petrol,,Abeokuta,2451
2008 Toyota Camry Very Neat,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,635214
2008 Toyota Avalon Very Neat,"1,000,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Lagos,354211
Foreign used Toyota Camry muscle 2009 model,"1,500,000",Toyota,Camry,2002,,Automatic,,Petrol,,Abeokuta,11254
2008 Toyota Avalon Very Neat,"1,100,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Lagos,635421
2008 Toks Toyota Avalon Very Neat,"1,000,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Lagos,358421
2008 Toks Toyota Avalon Very Neat,"1,200,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Lagos,635214
Tokunbo 2006 RX 330 Lexus,"1,650,000",Lexus,RX,2002,,Automatic,,Petrol,,Abeokuta,71000
Toyota Corolla 2003 For Sale - ,"1,200,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Gwagwalada,12100
Super Clean Tokunbo 2004 Toyota Camry XLE ,"1,350,000",Toyota,Camry,2002,,Automatic,,Petrol,,Benin,43000
Toks Toyota Camry 2004 Model Big Daddy ,"1,250,000",Toyota,Camry,2002,,Automatic,,Petrol,,Ode,12100
Volkswagen Sharan 2002 ,"1,000,000",Volkswagen,Sharan,2002,,Manual,,Petrol,,Ogbomosho,11000
Tokunbo 2010 Toyota Hiace Hummer Bus ,"1,800,000",Toyota,Hiace,2002,,Automatic,,Petrol,,Owerri,31000
Super neat and clean Toyota Corolla 2005 ,"1,350,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Zaria,18000
Toyota Prius 2005.,"1,100,000",Toyota,Prius,2002,,Automatic,,Petrol,,Lagos,41870
direct tokumbor toyota Camry XLE 2009 model for sale,"1,000,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,236524
2011 Toyota Sienna Very Neat,"1,800,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,574000
2011 Toyota Sienna Very Neat,"1,750,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,135000
2011 Toyota Sienna Very Neat,"1,800,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,452000
2002 Toyota Sienna Very Neat,"2,000,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,635241
2013 Toyota Sienna Very Neat,"1,300,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,658241
2005 Toyota Sienna Very Neat,"1,000,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,365241
2006 Toyota Sienna Very Neat,"1,000,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,385241
2006 Toyota Sienna Very Neat,"1,000,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,635241
Neat Lexus ES 350 Full Option 2009 model,"1,600,000",Mercedes,E -class,2002,,Automatic,,Petrol,,Uwani,51000
Extremely clean Lexus ES 350 2012 model,"1,750,000",Mercedes,E -class,2002,,Automatic,,Petrol,,Harcourt,12100
Very Clean and strong Toyota sienna 2005,"1,450,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Abuja,51000
Clean Lexus Rx 350 Toks 2010 Model,"1,650,000",Lexus,RX,2002,,Automatic,,Petrol,,Lagos,12010
2016 Model Toyota Hummer Bus,"2,400,000",Toyota,Hiace,2003,,Automatic,,Petrol,,Onitsha,12080
Tokunbo Honda Accord 2010,"1,750,000",Honda,Accord,2002,,Automatic,,Petrol,,Oshogbo,21000
Very Clean TOKUNBO 2001 Honda Accord,"1,050,000",Honda,Accord,2002,,Automatic,,Petrol,,Ekiti,12020
Honda Accord 2007 Model,"1,450,000",Honda,Accord,2002,,Automatic,,Petrol,,Oshogbo,31000
very neat and Direct tokumbo Toyota camry 2000,"1,100,000",Toyota,Camry,2002,,Automatic,,Petrol,,Lagos,12000
Direct toks Toyota sienna 2005,"1,550,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Onitsha,12000
Direct and clean Toyota sienna 2000,"1,250,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,190000
Very neat Toyota sienna 2000 model ,"1,350,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Abuja,132000
2006 Toyota Sienna Very Neat,"1,000,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Lagos,358214
tokumbor 2015 Mercedes Benz C300 4matic for sale,"1,200,000",Mercedes,C -class,2002,,Automatic,,Petrol,,Harcourt,326512
direct tokumbor 2013 Mercedes Benz GLK350 for sale,"1,500,000",Mercedes,GLK -class,2002,,Automatic,,Petrol,,Oshogbo,856348
tokumbor 2013 Mercedes Benz c300 4matic for sale,"1,000,000",Mercedes,C -class,2002,,Automatic,,Petrol,,Uyo,253647
2005 toyota seinna XLE for sale,"1,000,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Harcourt,253642
direct tokumbor 2012 toyota Hiace hummer bus for sale,"1,200,000",Toyota,Hiace,2002,,Automatic,,Petrol,,Lagos,828860
direct tokumbor toyota haice bus 2010 model for sale,"1,000,000",Toyota,Hiace,2002,,Automatic,,Petrol,,Abuja,532648
Super neat and first body Toyota Sienna 2000,"1,300,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Owerri,21000
2010 model Toyota Sienna for sell. ,"2,500,000",Toyota,Sienna,2002,,Automatic,,Petrol,,Abuja,142547
foreign used honda Accord spot 2017 for sale,"1,200,000",Honda,Accord,2002,,Automatic,,Petrol,,Ilorin,325416
2018 Honda Accord spot for sale,"1,500,000",Honda,Accord,2002,,Automatic,,Petrol,,Lagos,253413
toks Lexus Rx350 2018 model for sale,"1,500,000",Lexus,RX,2002,,Automatic,,Petrol,,Calabar,865324
foreign used Lexus Rx350 2015 model for sale,"1,300,000",Lexus,RX,2002,,Automatic,,Petrol,,Lagos,532462
2010 model Lexus RX 350 for sale.,"1,800,000",Lexus,RX,2002,,Automatic,,Petrol,,Benin,652837
toks 2015 Lexus Rx350 for sale,"1,500,000",Lexus,RX,2002,,Automatic,,Petrol,,Harcourt,253642
foreign used Lexus Rx350 2010 model for sale,"1,100,000",Lexus,RX,2002,,Automatic,,Petrol,,Lagos,254638
very clean 2010 Lexus Rx350 for sale,"1,200,000",Lexus,RX,2002,,Automatic,,Petrol,,Ibadan,352846
direct tokumbor Lexus Es350 2015 model for sale,"1,200,000",Lexus,ES,2002,,Automatic,,Petrol,,Minna,253416
foreign used 2011 Lexus Es350 for sale,"1,000,000",Lexus,ES,2002,,Automatic,,Petrol,,Harcourt,856255
Toyota Corolla 2005,"1,200,000",Toyota,Corolla,2003,,Automatic,,Petrol,,Lagos,26000
2005 Toyota Camry Solara,"1,300,000",Toyota,Camry,2004,,Automatic,,Petrol,,Lagos,28000
Tokunbo 2017 Toyota Corolla ,"2,500,000",Toyota,Corolla,2005,,Automatic,,Petrol,,Lagos,28000
